,lgdp,limp,lipel,liva,lretail,linv
2005-04-01,894.66376042406,402.54452187434754,757.9219064710923,457.51324704304375,895.5388713465748,857.062353231073
2005-07-01,897.8494083375805,409.2366823783222,759.7697328593134,461.0280198470799,899.9660818868451,864.5379082301938
2005-10-01,900.8907959082488,414.6768722957238,762.4618986159398,465.5414890285862,904.1081721960192,873.3009809905477
2006-01-01,904.0192765885356,415.6892827951549,770.8590264959,468.565203106422,911.980811331823,873.7037732578392
2006-04-01,906.7429279436868,418.87750389631657,769.2250254001358,472.695999994596,915.2151436419236,881.9850939198328
2006-07-01,909.5845506328492,419.8103731187015,773.9054410924824,476.3399407032248,918.2981295523878,886.9444138649656
2006-10-01,912.9054694253064,421.6449266697025,777.1994534384488,479.9977657627087,920.5594421601312,889.148734328626
2007-01-01,916.917535869914,437.6248963223133,777.4015077250727,485.9718984893457,922.536984562814,901.3766538961866
2007-04-01,920.0947165114744,432.7664150625804,784.8387342242451,488.77329265268025,926.453448285731,904.4614204991008
2007-07-01,922.7976463416323,433.48444773676033,788.2880796577185,492.3542739876937,927.7859601291434,909.4587310478614
2007-10-01,926.2377612326914,436.5656296839496,793.4477646621922,497.1031427288111,930.6253436667,916.9728899043242
2008-01-01,928.2793120562408,450.724468545623,796.1753670724227,501.1002016622334,934.8474621517342,928.1680773748355
2008-04-01,930.3527522107626,437.9608781184875,797.6354995804179,503.4864300119327,938.0741265333724,926.16368995252
2008-07-01,931.618793656426,441.2578965025702,797.1569062107552,505.753901395496,942.295351061538,934.624146440284
2008-10-01,932.7582804295532,439.6850652963914,790.4703913873747,505.2835552538975,946.4452042799628,939.030382065905
2009-01-01,935.041916605398,406.8145386892881,788.6682724704267,505.32547327509343,949.9212376233276,931.3115611952394
2009-04-01,938.2993555422036,434.4221869070049,794.1046518195018,510.6091841549149,953.2812795773614,954.0046485035828
2009-07-01,941.5491547507444,444.8664237695676,802.109196304863,516.076434026701,957.8786673052418,960.856713398952
2009-10-01,944.1170421830868,446.2036128244073,809.3737213787155,520.4107868926017,961.9673008600536,966.1072158797932
2010-01-01,946.4505358792356,455.96433181857714,810.3978129848011,524.289288107293,966.5823796039948,974.333484983016
2010-04-01,948.5546071673758,458.82647302663617,814.3023241288784,527.233282711693,971.2530233472614,974.439231424832
2010-07-01,950.9935042697094,456.82102721476986,814.1451920474294,529.1245533647856,975.4586112573154,981.481928619242
2010-10-01,953.4792891437602,459.9880219746126,815.6309402703451,532.7841986980667,977.6839791598496,985.746011989512
2011-01-01,955.911859355402,482.7493708022722,822.6760673287528,536.996156057169,980.3356991469676,1007.163412623852
2011-04-01,958.089780877382,467.8102045510664,824.5016946524717,540.1671686456737,983.0807550670892,1004.256521571426
