date,value,source,units,fetched_at
1993-01,37.06709,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-02,37.27705,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-03,37.96701,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-04,39.06402,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-05,39.64885,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-06,39.59399,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-07,39.31966,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-08,40.16232,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-09,41.21659,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-10,41.5161,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-11,41.87596,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1993-12,43.14175,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-01,44.88825,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-02,45.92533,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-03,46.47161,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-04,47.54092,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-05,48.09406,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-06,48.54223,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-07,48.75638,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-08,50.5242,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-09,52.46872,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-10,53.01606,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-11,53.39185,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1994-12,54.1429,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-01,55.70632,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-02,56.2126,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-03,56.37007,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-04,57.38189,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-05,57.85715,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-06,57.37692,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-07,56.89869,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-08,57.85021,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-09,59.39459,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-10,59.431,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-11,59.37174,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1995-12,59.61133,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-01,60.71988,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-02,61.44038,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-03,61.89434,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-04,62.94793,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-05,63.00644,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-06,62.31134,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-07,61.62128,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-08,62.53608,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-09,63.78979,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-10,63.59118,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-11,63.46839,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1996-12,63.78413,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-01,64.30236,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-02,64.88104,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-03,64.37011,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-04,64.96227,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-05,64.77061,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-06,64.05605,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-07,63.28506,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-08,63.72426,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-09,64.93801,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-10,64.54504,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-11,64.16654,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1997-12,64.03926,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-01,64.49526,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-02,64.81615,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-03,64.8207,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-04,64.76737,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-05,64.12291,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-06,63.22332,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-07,62.39907,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-08,62.83212,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-09,63.96394,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-10,63.83505,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-11,63.39654,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1998-12,63.39887,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-01,63.72132,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-02,63.97355,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-03,63.65393,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-04,63.34249,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-05,62.7122,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-06,61.89563,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-07,61.52548,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-08,62.0153,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-09,63.45223,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-10,63.45204,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-11,62.82597,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
1999-12,62.76488,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
