date,value
2005-01,231.56
2005-02,180.02
2005-03,212.89
2005-04,210.03
2005-05,215.37
2005-06,224.6
2005-07,251.47
2005-08,252.15
2005-09,235.84
2005-10,228.79
2005-11,240.51
2005-12,248.93
2006-01,249.06
2006-02,197.38
2006-03,228.9
2006-04,223.1
2006-05,236.47
2006-06,242.7
2006-07,272.62
2006-08,272.3
2006-09,253.8
2006-10,246.89
2006-11,259.88
2006-12,266.26
2007-01,267.34
2007-02,210.21
2007-03,246.8
2007-04,242.79
2007-05,254.91
2007-06,264.48
2007-07,296.74
2007-08,292.61
2007-09,272.79
2007-10,265.78
2007-11,278.71
2007-12,289.88
2008-01,288.82
2008-02,225.65
2008-03,263.09
2008-04,262.23
2008-05,275.43
2008-06,285.26
2008-07,312.71
2008-08,316.94
2008-09,295.45
2008-10,288.79
2008-11,300.96
2008-12,310.15
2009-01,313.22
2009-02,244.94
2009-03,286.05
2009-04,282.55
2009-05,291.61
2009-06,305.3
2009-07,337.52
2009-08,339.17
2009-09,317.39
2009-10,314.38
2009-11,319.85
2009-12,336.21
2010-01,331.19
2010-02,263.11
2010-03,307.95
2010-04,304.37
2010-05,319.77
2010-06,331.94
2010-07,364.08
2010-08,366.02
2010-09,345.14
2010-10,334.27
2010-11,343.54
2010-12,356.27
2011-01,359.11
2011-02,285.42
2011-03,331.8
2011-04,328.28
2011-05,341.47
2011-06,355.9
2011-07,395.41
2011-08,394.92
2011-09,370.75
2011-10,358.86
2011-11,372.94
2011-12,386.25
2012-01,386.13
2012-02,307.56
2012-03,355.81
2012-04,351.85
2012-05,370.66
2012-06,384.41
2012-07,426.24
2012-08,426.29
2012-09,396.73
2012-10,388.53
2012-11,397.63
2012-12,412.68
2013-01,415.68
2013-02,327.51
2013-03,386.11
2013-04,376.38
2013-05,396.71
2013-06,417.07
2013-07,455.59
2013-08,462.46
2013-09,425.77
2013-10,418.28
2013-11,431.06
2013-12,448.71
2014-01,455.78
2014-02,350.86
2014-03,416.2
2014-04,409.34
2014-05,426.76
2014-06,439.68
2014-07,492.65
2014-08,493.34
2014-09,463.14
2014-10,451.57
2014-11,474.08
2014-12,483.93
2015-01,483.89
2015-02,383.15
2015-03,445.89
2015-04,442.31
2015-05,461.34
2015-06,475.77
2015-07,530.17
2015-08,521.21
2015-09,487.47
2015-10,474.01
2015-11,492.53
2015-12,505.1
2016-01,515.45
2016-02,401.46
2016-03,462.37
2016-04,456.2
2016-05,482.93
2016-06,502.03
2016-07,559.64
2016-08,566.03
2016-09,516.75
2016-10,498.01
2016-11,510.49
2016-12,538.0
2017-01,535.58
2017-02,421.35
2017-03,489.41
2017-04,482.93
2017-05,510.68
2017-06,524.86
2017-07,578.29
2017-08,576.62
2017-09,534.14
2017-10,525.61
2017-11,545.68
2017-12,572.3
2018-01,567.26
2018-02,447.88
2018-03,514.92
2018-04,503.39
2018-05,528.16
2018-06,547.82
2018-07,619.01
2018-08,607.17
2018-09,572.91
2018-10,550.65
2018-11,578.12
2018-12,595.01
2019-01,594.91
2019-02,466.97
2019-03,540.58
2019-04,536.11
2019-05,557.47
2019-06,573.53
2019-07,633.25
2019-08,643.34
2019-09,605.77
2019-10,583.78
2019-11,602.63
2019-12,624.96
2020-01,632.68
2020-02,491.47
2020-03,568.41
2020-04,565.1
2020-05,588.19
2020-06,613.77
2020-07,670.16
2020-08,664.83
2020-09,617.82
2020-10,616.34
2020-11,637.5
2020-12,648.55
2021-01,649.65
2021-02,516.57
2021-03,588.26
2021-04,578.79
2021-05,613.2
2021-06,629.03
2021-07,696.41
2021-08,697.85
2021-09,651.86
2021-10,640.22
2021-11,654.92
2021-12,679.42
2022-01,667.07
2022-02,531.19
2022-03,613.53
2022-04,600.8
2022-05,630.46
2022-06,654.98
2022-07,730.13
2022-08,719.52
2022-09,676.76
2022-10,656.33
2022-11,679.32
2022-12,709.12
2023-01,708.86
2023-02,558.97
2023-03,642.07
2023-04,627.91
2023-05,659.6
2023-06,684.82
2023-07,755.41
2023-08,750.29
2023-09,704.67
2023-10,686.98
2023-11,723.13
2023-12,743.13
2024-01,729.57
2024-02,574.26
2024-03,661.22
2024-04,654.05
2024-05,689.44
2024-06,718.2
2024-07,780.5
2024-08,783.57
2024-09,720.26
2024-10,712.73
2024-11,731.47
2024-12,758.74
2025-01,759.14
2025-02,598.58
2025-03,686.52
2025-04,675.9
2025-05,727.91
2025-06,732.69
2025-07,809.9
2025-08,831.84
2025-09,780.43
2025-10,735.78
2025-11,765.53
2025-12,795.18
2026-01,806.66
