date,value,source,units,fetched_at
1992-01,3.016,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-02,4.851,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-03,5.893,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-04,6.084,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-05,6.358,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-06,6.82,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-07,6.273,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-08,6.37,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-09,6.842,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-10,7.099,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-11,7.635,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1992-12,13.343,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-01,3.204,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-02,6.473,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-03,7.582,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-04,7.481,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-05,8.509,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-06,7.385,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-07,8.764,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-08,8.757,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-09,9.554,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-10,8.638,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-11,9.526,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1993-12,18.086,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-01,5.716,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-02,5.963,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-03,8.725,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-04,9.407,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-05,9.445,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-06,9.857,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-07,9.621,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-08,10.035,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-09,9.214,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-10,9.408,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-11,10.307,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1994-12,17.916,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1995-01,6.5,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1995-02,7.123,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1995-03,10.241,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
1995-04,10.278,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
