date,value,source,units,fetched_at
1990-02,1.5948587866002,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-03,1.6185426593215195,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-04,1.63634865955678,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-05,1.6565837382710498,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-06,1.68673915214589,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-07,1.72120728907498,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-08,1.75708649106478,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-09,1.79394078489581,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-10,1.83384015209717,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-11,1.87437238174637,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1990-12,1.91322916318844,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-01,1.95127425572304,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-02,1.98748493382821,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-03,2.01897515912986,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-04,2.04546137948031,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-05,2.07515524224929,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-06,2.1142592642993,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-07,2.1642239479617302,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-08,2.21567356503253,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-09,2.26201249040473,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-10,2.2948525352353,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-11,2.32758541830592,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1991-12,2.37489030616624,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-01,2.4351060187395,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-02,2.49580602261662,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-03,2.53762784040945,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-04,2.64092300958937,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-05,2.74978427175603,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-06,2.80286293627081,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-07,2.86994864921098,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-08,2.93806433679023,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-09,2.99900790209271,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-10,3.0816633812658303,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-11,3.1637380463367,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1992-12,3.2258557877324803,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1993-01,3.58269892920186,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
1993-02,3.94598558429502,oecd,Monthly manufacturing production index,2026-04-08T19:20:26+00:00
