date,output_gap,output_gap_p16,output_gap_p84,output_gap_p025,output_gap_p975,potential_growth,potential_growth_p16,potential_growth_p84,potential_growth_p025,potential_growth_p975,gdp_growth_qoq,gdp_growth_yoy
2005-Q2,-3.621189,-5.526523,-1.715855,-7.431857,0.189479,12.786016,10.965777,14.606255,9.145538,16.426494,,
2005-Q3,-3.374715,-5.279874,-1.469555,-7.185033,0.435604,12.548441,10.971430,14.125453,9.394419,15.702464,12.947731,
2005-Q4,-3.067021,-4.969730,-1.164312,-6.872438,0.738397,12.179678,10.699000,13.660356,9.218321,15.141034,12.352441,
2006-Q1,-2.987379,-4.885515,-1.089242,-6.783652,0.808894,11.921707,10.455760,13.387654,8.989814,14.853601,12.711728,
2006-Q2,-2.842656,-4.734715,-0.950596,-6.626774,0.941463,12.274740,10.808049,13.741431,9.341358,15.208122,11.044327,12.838982
2006-Q3,-2.795291,-4.680197,-0.910384,-6.565104,0.974522,13.093232,11.626196,14.560268,10.159160,16.027304,11.529528,12.451454
2006-Q4,-2.715198,-4.592194,-0.838202,-6.469191,1.038795,13.785671,12.318899,15.252443,10.852126,16.719216,13.506707,12.766231
2007-Q1,-2.118380,-3.986944,-0.249817,-5.855507,1.618747,13.112094,11.645499,14.578690,10.178903,16.045286,16.374548,13.767032
2007-Q2,-2.184499,-4.044284,-0.324715,-5.904068,1.535070,12.224841,10.758292,13.691389,9.291743,15.157938,12.912767,14.284171
2007-Q3,-2.152056,-4.002856,-0.301255,-5.853657,1.549546,11.366525,9.899981,12.833069,8.433437,14.299613,10.959161,14.125777
2007-Q4,-1.795138,-3.636869,0.046593,-5.478600,1.888323,9.646658,8.180113,11.113202,6.713568,12.579747,13.999885,14.261891
2008-Q1,-1.153468,-2.986147,0.679211,-4.818826,2.511889,7.483263,6.016718,8.949807,4.550174,10.416352,8.250132,12.032381
2008-Q2,-1.478956,-3.302695,0.344782,-5.126433,2.168520,6.366038,4.899494,7.832582,3.432949,9.299126,8.380341,10.802634
2008-Q3,-1.408206,-3.223198,0.406786,-5.038190,2.221778,6.298930,4.832386,7.765474,3.365842,9.232018,5.096359,9.221907
2008-Q4,-1.781290,-3.587805,0.025224,-5.394319,1.831738,7.971510,6.504965,9.438054,5.038421,10.904598,4.584015,6.737802
2009-Q1,-2.877329,-4.675697,-1.078962,-6.474064,0.719405,11.250544,9.784000,12.717088,8.317456,14.183632,9.239643,6.996512
2009-Q2,-1.570638,-3.361240,0.219965,-5.151842,2.010567,12.080327,10.613783,13.546871,9.147238,15.013415,13.244297,8.270878
2009-Q3,-0.611721,-2.394982,1.171539,-4.178242,2.954799,11.248347,9.781803,12.714891,8.315259,14.181435,13.212728,10.440156
2009-Q4,-0.050490,-1.826861,1.725880,-3.603232,3.502251,10.189922,8.723378,11.656466,7.256834,13.123010,10.404567,12.029004
2010-Q1,0.611035,-1.158919,2.380989,-2.928873,4.150943,9.360597,7.894053,10.827141,6.427509,12.293685,9.443731,12.084873
2010-Q2,0.893264,-0.870756,2.657285,-2.634776,4.421305,9.274016,7.807472,10.740560,6.340928,12.207104,8.505452,10.799549
2010-Q3,1.111877,-0.646696,2.870450,-2.405268,4.629023,9.645578,8.179034,11.112122,6.712490,12.578666,9.875526,9.904706
2010-Q4,1.611923,-0.141683,3.365529,-1.895289,5.119135,9.823132,8.356587,11.289676,6.890043,12.756220,10.067752,9.814508
2011-Q1,2.851606,1.102497,4.600715,-0.646612,6.349824,8.433352,6.966808,9.899896,5.500264,11.366440,9.849594,9.923363
