date,output_gap,output_gap_p16,output_gap_p84,output_gap_p025,output_gap_p975,potential_growth,potential_growth_p16,potential_growth_p84,potential_growth_p025,potential_growth_p975,gdp_growth_qoq,gdp_growth_yoy
2005-Q2,-3.650997,-5.556219,-1.745775,-7.461441,0.159447,12.789590,10.969351,14.609829,9.149113,16.430068,,
2005-Q3,-3.405675,-5.310707,-1.500644,-7.215739,0.404388,12.555897,10.978885,14.132908,9.401874,15.709919,12.947731,
2005-Q4,-3.095646,-4.998212,-1.193080,-6.900779,0.709487,12.186333,10.705655,13.667011,9.224976,15.147689,12.352441,
2006-Q1,-3.012858,-4.910837,-1.114879,-6.808816,0.783100,11.920567,10.454620,13.386513,8.988673,14.852460,12.711728,
2006-Q2,-2.870460,-4.762346,-0.978573,-6.654232,0.913313,12.271449,10.804758,13.738140,9.338067,15.204831,11.044327,12.838982
2006-Q3,-2.824523,-4.709241,-0.939805,-6.593959,0.944913,13.088635,11.621599,14.555672,10.154563,16.022708,11.529528,12.451454
2006-Q4,-2.747565,-4.624357,-0.870774,-6.501149,1.006018,13.784262,12.317490,15.251035,10.850717,16.717807,13.506707,12.766231
2007-Q1,-2.152080,-4.020422,-0.283738,-5.888764,1.584604,13.114008,11.647412,14.580603,10.180817,16.047199,16.374548,13.767032
2007-Q2,-2.217710,-4.077257,-0.358163,-5.936804,1.501383,12.226422,10.759874,13.692971,9.293325,15.159519,12.912767,14.284171
2007-Q3,-2.185567,-4.036114,-0.335021,-5.886660,1.515526,11.367033,9.900489,12.833577,8.433945,14.300121,10.959161,14.125777
2007-Q4,-1.829467,-3.670928,0.011993,-5.512388,1.853454,9.646936,8.180391,11.113480,6.713847,12.580025,13.999885,14.261891
2008-Q1,-1.188350,-3.020742,0.644043,-4.853135,2.476436,7.483325,6.016781,8.949870,4.550236,10.416415,8.250132,12.032381
2008-Q2,-1.514681,-3.338118,0.308757,-5.161556,2.132194,6.366519,4.899975,7.833063,3.433430,9.299607,8.380341,10.802634
2008-Q3,-1.444846,-3.259524,0.369833,-5.074202,2.184511,6.300460,4.833916,7.767005,3.367372,9.233549,5.096359,9.221907
2008-Q4,-1.818461,-3.624649,-0.012272,-5.430838,1.793916,7.973255,6.506711,9.439799,5.040167,10.906344,4.584015,6.737802
2009-Q1,-2.914687,-4.712719,-1.116655,-6.510750,0.681377,11.249817,9.783273,12.716361,8.316729,14.182905,9.239643,6.996512
2009-Q2,-1.610123,-3.400383,0.180136,-5.190642,1.970395,12.078418,10.611874,13.544962,9.145330,15.011506,13.244297,8.270878
2009-Q3,-0.653500,-2.436413,1.129412,-4.219325,2.912325,11.245943,9.779399,12.712487,8.312854,14.179031,13.212728,10.440156
2009-Q4,-0.094221,-1.870242,1.681801,-3.646264,3.457822,10.186574,8.720030,11.653118,7.253486,13.119662,10.404567,12.029004
2010-Q1,0.564337,-1.205269,2.333944,-2.974876,4.103550,9.359618,7.893074,10.826162,6.426530,12.292706,9.443731,12.084873
2010-Q2,0.845820,-0.917859,2.609498,-2.681538,4.373177,9.274865,7.808321,10.741409,6.341777,12.207954,8.505452,10.799549
2010-Q3,1.064741,-0.693500,2.822981,-2.451741,4.581222,9.647622,8.181078,11.114166,6.714534,12.580710,9.875526,9.904706
2010-Q4,1.566133,-0.187155,3.319421,-1.940443,5.072709,9.825497,8.358953,11.292041,6.892408,12.758585,10.067752,9.814508
2011-Q1,2.807791,1.058982,4.556600,-0.689827,6.305410,8.435347,6.968803,9.901891,5.502259,11.368435,9.849594,9.923363
2011-Q2,2.515207,0.770419,4.259995,-0.974370,6.004783,7.581721,6.115177,9.048265,4.648633,10.514809,8.807245,10.004571
2011-Q3,2.389147,0.647944,4.130351,-1.093260,5.871554,7.090765,5.624221,8.557309,4.157677,10.023853,7.788202,9.444364
2011-Q4,2.434997,0.696966,4.173029,-1.041065,5.911060,6.869320,5.402776,8.335864,3.936232,9.802408,6.781359,8.567248
2012-Q1,1.734127,-0.001118,3.469371,-1.736362,5.204616,7.764612,6.298068,9.231156,4.831524,10.697700,7.873438,8.043773
2012-Q2,2.542234,0.809420,4.275048,-0.923394,6.007863,7.875657,6.409113,9.342201,4.942569,10.808745,7.783485,7.773203
2012-Q3,3.098570,1.367859,4.829281,-0.362853,6.559992,7.871791,6.405247,9.338335,4.938703,10.804879,7.058078,7.580241
2012-Q4,3.499113,1.770208,5.228018,0.041302,6.956923,7.748754,6.282210,9.215298,4.815666,10.681842,8.410613,8.011125
2013-Q1,4.079439,2.352072,5.806806,0.624705,7.534173,7.295481,5.828937,8.762025,4.362393,10.228569,7.489502,7.909452
2013-Q2,4.148897,2.422829,5.874965,0.696761,7.601033,7.323348,5.856804,8.789892,4.390260,10.256436,6.779933,7.643888
2013-Q3,4.180216,2.455235,5.905197,0.730253,7.630178,7.330908,5.864364,8.797452,4.397820,10.263996,8.249318,7.958904
2013-Q4,4.241400,2.517318,5.965481,0.793237,7.689562,7.323294,5.856750,8.789838,4.390206,10.256382,7.049941,7.599225
2014-Q1,4.530260,2.806914,6.253605,1.083569,7.976951,6.993427,5.526883,8.459971,4.060339,9.926515,7.552947,7.615978
2014-Q2,4.305254,2.582501,6.028007,0.859748,7.750760,6.904353,5.437809,8.370897,3.971265,9.837441,7.172424,7.719814
2014-Q3,4.167632,2.445346,5.889918,0.723059,7.612204,6.930347,5.463803,8.396891,3.997259,9.863435,6.790286,7.334837
2014-Q4,4.181361,2.459431,5.903291,0.737501,7.625221,6.797015,5.330471,8.263559,3.863927,9.730103,7.125170,7.354674
2015-Q1,3.938006,2.216332,5.659679,0.494659,7.381353,6.747513,5.280968,8.214057,3.814424,9.680601,6.662354,7.120080
2015-Q2,3.858027,2.136519,5.579535,0.415011,7.301043,6.584882,5.118338,8.051426,3.651794,9.517970,7.033150,7.083440
2015-Q3,3.867519,2.146090,5.588947,0.424662,7.310376,6.327857,4.861312,7.794401,3.394768,9.260945,6.637544,7.043232
2015-Q4,3.589781,1.868348,5.311215,0.146914,7.032649,6.298504,4.831960,7.765048,3.365416,9.231592,6.528330,6.886308
2016-Q1,3.274154,1.552628,4.995681,-0.168899,6.717207,6.677800,5.211256,8.144345,3.744712,9.610889,6.326427,6.798013
2016-Q2,3.315276,1.593564,5.036989,-0.128148,6.758701,6.838206,5.371662,8.304750,3.905118,9.771294,6.522177,6.663943
2016-Q3,3.272265,1.550265,4.994266,-0.171736,6.716266,6.782106,5.315562,8.248650,3.849018,9.715194,6.995562,6.757854
2016-Q4,3.240991,1.518586,4.963396,-0.203820,6.685801,6.564599,5.098055,8.031143,3.631511,9.497687,6.933819,6.864339
2017-Q1,3.021862,1.298919,4.744805,-0.424024,6.467748,6.627529,5.160985,8.094073,3.694441,9.560617,6.717521,6.967197
2017-Q2,3.120840,1.397206,4.844474,-0.326429,6.568109,6.763787,5.297243,8.230331,3.830699,9.696875,6.334308,6.917764
2017-Q3,3.179638,1.455134,4.904141,-0.269370,6.628645,6.849808,5.383264,8.316352,3.916720,9.782896,6.351352,6.748530
2017-Q4,3.137395,1.411817,4.862973,-0.313762,6.588552,7.024961,5.558417,8.491505,4.091873,9.958049,6.166306,6.547193
2018-Q1,3.538290,1.811401,5.265179,0.084512,6.992068,5.973169,4.506625,7.439713,3.040081,8.906258,11.348464,7.760354
2018-Q2,2.945091,1.216622,4.673560,-0.511847,6.402029,6.288310,4.821766,7.754854,3.355222,9.221398,2.350902,6.703950
2018-Q3,2.842980,1.112626,4.573335,-0.617728,6.303689,6.838101,5.371557,8.304645,3.905013,9.771189,4.667225,6.261714
2018-Q4,2.736793,1.004210,4.469376,-0.728373,6.201960,6.601903,5.135359,8.068447,3.668814,9.534991,4.612286,5.855150
2019-Q1,2.755117,1.019922,4.490312,-0.715273,6.225507,2.963592,1.497048,4.430136,0.030504,5.896680,18.518203,7.700188
2019-Q2,1.773587,0.035357,3.511817,-1.702873,5.250048,0.721012,-0.745532,2.187557,-2.212076,3.654101,-4.194590,5.948109
2019-Q3,0.932316,-0.809413,2.674046,-2.551142,4.415775,-0.532859,-1.999403,0.933685,-3.465947,2.400229,3.989900,5.770775
2019-Q4,0.254223,-1.491509,1.999955,-3.237242,3.745687,0.452289,-1.014255,1.918833,-2.480799,3.385377,3.359341,5.443239
2020-Q1,-1.383014,-3.133291,0.367263,-4.883568,2.117540,8.812634,7.346090,10.279178,5.879546,11.745722,-24.330629,-5.352276
2020-Q2,-0.376545,-2.131944,1.378855,-3.887343,3.134254,11.116397,9.649853,12.582941,8.183309,14.049485,32.905162,3.519273
2020-Q3,-0.131657,-1.892788,1.629473,-3.653918,3.390604,10.593316,9.126772,12.059860,7.660228,13.526404,9.484342,4.927181
2020-Q4,-0.232857,-2.000354,1.534640,-3.767851,3.302137,8.639445,7.172901,10.105989,5.706357,11.572533,9.285753,6.468838
2021-Q1,-0.147030,-1.921548,1.627488,-3.696067,3.402007,5.540474,4.073930,7.007018,2.607386,8.473562,12.013872,16.769270
2021-Q2,-0.095673,-1.877880,1.686535,-3.660088,3.468742,3.163719,1.697175,4.630263,0.230631,6.096807,2.613175,8.598489
2021-Q3,-0.501372,-2.291939,1.289195,-4.082506,3.079762,2.934049,1.467505,4.400593,0.000961,5.867137,-1.265011,5.747676
2021-Q4,-0.655424,-2.455014,1.144166,-4.254604,2.943756,2.859437,1.392893,4.325981,-0.073651,5.792526,5.903501,4.873799
2022-Q1,-0.487597,-2.296855,1.321661,-4.106113,3.130919,2.265899,0.799355,3.732444,-0.667189,5.198988,6.325181,3.425802
2022-Q2,-1.199322,-3.018861,0.620217,-4.838401,2.439757,4.317856,2.851312,5.784400,1.384768,7.250945,-5.379792,1.372519
2022-Q3,-1.089636,-2.920026,0.740753,-4.750415,2.571142,4.962164,3.495620,6.428709,2.029076,7.895253,10.193227,4.285608
2022-Q4,-1.292402,-3.134152,0.549347,-4.975901,2.391097,5.536810,4.070265,7.003355,2.603720,8.469900,2.106265,3.310014
2023-Q1,-1.591751,-3.445298,0.261796,-5.298845,2.115343,5.248592,3.782046,6.715139,2.315499,8.181686,8.872352,3.957643
2023-Q2,-2.059670,-3.925366,-0.193974,-5.791061,1.671721,5.163747,3.697198,6.630296,2.230649,8.096845,4.835139,6.648636
